date,open,high,low,close,volume
2022-10-11,3.83,3.91,3.82,3.88,339908
2022-10-12,3.86,3.95,3.86,3.94,430805
2022-10-13,3.93,3.97,3.91,3.96,337461
2022-10-14,3.97,4.0,3.96,3.97,377585
2022-10-17,3.95,3.98,3.93,3.97,309250
2022-10-18,3.98,3.99,3.94,3.95,312146
2022-10-19,3.94,3.96,3.91,3.92,222753
2022-10-20,3.91,3.98,3.9,3.95,304745
2022-10-21,4.04,4.06,3.95,3.96,461836
2022-10-24,3.97,4.03,3.89,3.91,518741
2022-10-25,3.91,3.97,3.86,3.93,400812
2022-10-26,3.93,3.99,3.92,3.94,402765
2022-10-27,3.94,3.97,3.92,3.94,321576
2022-10-28,3.93,3.95,3.87,3.88,484323
2022-10-31,3.89,3.94,3.87,3.89,405402
2022-11-01,3.9,3.99,3.89,3.98,488416
2022-11-02,3.98,4.01,3.97,3.99,383591
2022-11-03,3.96,3.98,3.95,3.97,243157
2022-11-04,3.97,4.05,3.96,4.03,577870
2022-11-07,4.02,4.08,4.0,4.05,481388
2022-11-08,4.04,4.06,4.0,4.02,308937
2022-11-09,4.02,4.03,3.99,4.0,238047
2022-11-10,3.99,4.03,3.97,4.01,277123
2022-11-11,4.07,4.11,4.03,4.07,760638
2022-11-14,4.08,4.14,4.07,4.08,742970
2022-11-15,4.07,4.22,4.05,4.18,1222620
2022-11-16,4.16,4.17,4.12,4.12,566980
2022-11-17,4.11,4.14,4.09,4.14,496353
2022-11-18,4.14,4.14,4.08,4.08,432005
2022-11-21,4.07,4.09,4.04,4.06,345954
2022-11-22,4.05,4.11,4.04,4.08,446037
2022-11-23,4.07,4.12,4.07,4.1,408138
2022-11-24,4.1,4.12,4.06,4.07,354985
2022-11-25,4.05,4.12,4.05,4.1,457722
2022-11-28,4.06,4.07,4.01,4.05,450257
2022-11-29,4.05,4.18,4.05,4.15,857786
2022-11-30,4.15,4.18,4.13,4.13,555023
2022-12-01,4.17,4.22,4.12,4.13,897815
2022-12-02,4.13,4.15,4.11,4.12,466815
2022-12-05,4.15,4.22,4.14,4.21,925446
2022-12-06,4.2,4.23,4.18,4.19,579254
2022-12-07,4.19,4.21,4.14,4.17,579860
2022-12-08,4.16,4.18,4.14,4.15,367124
2022-12-09,4.17,4.18,4.12,4.18,633936
2022-12-12,4.17,4.17,4.08,4.09,601860
2022-12-13,4.09,4.12,4.08,4.1,318745
2022-12-14,4.09,4.13,4.08,4.1,354032
2022-12-15,4.09,4.12,4.07,4.08,276834
2022-12-16,4.06,4.1,4.05,4.1,322793
2022-12-19,4.09,4.11,3.98,4.0,537659
2022-12-20,3.99,4.01,3.97,3.98,337834
2022-12-21,3.98,4.0,3.96,3.96,200674
2022-12-22,3.98,4.0,3.93,3.95,248718
2022-12-23,3.94,3.98,3.93,3.96,190950
2022-12-26,3.97,3.98,3.95,3.96,240799
2022-12-27,3.98,4.0,3.97,3.99,207171
2022-12-28,3.98,4.0,3.97,3.99,198903
2022-12-29,3.97,3.99,3.95,3.97,287235
2022-12-30,3.99,4.0,3.97,3.98,308370
2023-01-03,3.97,4.0,3.93,3.98,464932
2023-01-04,3.98,4.0,3.97,3.99,330258
2023-01-05,4.0,4.03,3.99,4.02,407370
2023-01-06,4.01,4.03,4.0,4.01,327663
2023-01-09,4.01,4.07,4.01,4.03,445629
2023-01-10,4.04,4.06,4.01,4.02,371760
2023-01-11,4.02,4.04,4.0,4.01,257488
2023-01-12,4.0,4.03,3.98,4.02,333684
2023-01-13,4.03,4.07,4.01,4.07,557784
2023-01-16,4.07,4.21,4.06,4.15,1510511
2023-01-17,4.15,4.19,4.13,4.18,792101
2023-01-18,4.18,4.2,4.17,4.18,528155
2023-01-19,4.18,4.24,4.16,4.24,725278
2023-01-20,4.23,4.24,4.19,4.21,737491
2023-01-30,4.25,4.27,4.17,4.18,708724
2023-01-31,4.18,4.2,4.14,4.15,558120
2023-02-01,4.17,4.25,4.15,4.23,674153
2023-02-02,4.36,4.39,4.23,4.24,1602641
2023-02-03,4.22,4.25,4.17,4.2,762166
2023-02-06,4.2,4.2,4.16,4.18,394755
2023-02-07,4.18,4.2,4.15,4.18,451717
2023-02-08,4.19,4.2,4.13,4.14,405644
2023-02-09,4.13,4.19,4.12,4.19,393475
2023-02-10,4.18,4.21,4.16,4.17,313156
2023-02-13,4.17,4.21,4.16,4.2,377279
2023-02-14,4.2,4.22,4.18,4.2,330934
2023-02-15,4.21,4.21,4.17,4.18,296601
2023-02-16,4.19,4.25,4.12,4.15,791120
2023-02-17,4.15,4.17,4.1,4.11,465300
2023-02-20,4.15,4.24,4.13,4.23,897234
2023-02-21,4.23,4.24,4.2,4.24,557020
2023-02-22,4.22,4.25,4.21,4.22,424096
2023-02-23,4.23,4.28,4.22,4.24,537471
2023-02-24,4.24,4.26,4.19,4.22,376794
2023-02-27,4.19,4.22,4.17,4.18,316867
2023-02-28,4.18,4.22,4.16,4.22,372922
2023-03-01,4.22,4.26,4.2,4.25,615306
2023-03-02,4.25,4.27,4.23,4.25,547365
2023-03-03,4.27,4.29,4.24,4.28,597565
2023-03-06,4.29,4.3,4.23,4.24,492322
2023-03-07,4.24,4.28,4.21,4.21,657145
2023-03-08,4.2,4.22,4.18,4.2,370236
2023-03-09,4.2,4.21,4.17,4.18,300102
2023-03-10,4.17,4.18,4.13,4.14,418802
2023-03-13,4.13,4.16,4.11,4.15,437876
2023-03-14,4.14,4.15,4.1,4.11,407320
2023-03-15,4.13,4.16,4.12,4.15,293000
2023-03-16,4.13,4.15,4.11,4.12,276390
2023-03-17,4.14,4.2,4.13,4.16,539343
2023-03-20,4.16,4.2,4.13,4.13,471389
2023-03-21,4.15,4.18,4.13,4.17,300483
2023-03-22,4.18,4.19,4.15,4.18,356858
2023-03-23,4.17,4.23,4.16,4.23,467366
2023-03-24,4.23,4.24,4.19,4.22,393676
2023-03-27,4.22,4.24,4.18,4.21,373605
2023-03-28,4.21,4.22,4.19,4.2,293334
2023-03-29,4.21,4.22,4.16,4.18,285920
2023-03-30,4.19,4.22,4.14,4.2,414309
2023-03-31,4.19,4.2,4.17,4.17,328666
2023-04-03,4.17,4.25,4.16,4.24,879262
2023-04-04,4.25,4.27,4.22,4.25,624898
2023-04-06,4.25,4.26,4.22,4.23,392541
2023-04-07,4.24,4.26,4.22,4.24,454789
2023-04-10,4.26,4.27,4.21,4.22,478343
2023-04-11,4.23,4.29,4.22,4.25,712539
2023-04-12,4.25,4.29,4.24,4.27,477313
2023-04-13,4.26,4.26,4.23,4.23,409765
2023-04-14,4.25,4.26,4.21,4.24,371865
2023-04-17,4.29,4.6,4.29,4.5,2870863
2023-04-18,4.49,4.57,4.46,4.49,1351936
2023-04-19,4.47,4.55,4.46,4.5,1195480
2023-04-20,4.48,4.54,4.45,4.52,951842
2023-04-21,4.54,4.54,4.39,4.4,1137277
2023-04-24,4.4,4.43,4.32,4.34,792995
2023-04-25,4.34,4.43,4.33,4.39,790812
2023-04-26,4.38,4.39,4.31,4.38,752819
2023-04-27,4.36,4.48,4.35,4.46,1035366
2023-04-28,4.46,4.56,4.44,4.52,1074125
2023-05-04,4.52,4.69,4.49,4.67,1523522
2023-05-05,4.69,4.97,4.69,4.81,2303821
2023-05-08,4.82,4.95,4.77,4.89,2241771
2023-05-09,4.91,5.15,4.85,4.89,3875533
2023-05-10,4.84,4.94,4.71,4.76,2341521
2023-05-11,4.79,4.84,4.72,4.79,1239513
2023-05-12,4.8,4.81,4.73,4.76,857500
2023-05-15,4.76,4.81,4.59,4.76,1593421
2023-05-16,4.77,4.84,4.71,4.74,808163
2023-05-17,4.73,4.8,4.68,4.76,669770
2023-05-18,4.76,4.8,4.7,4.72,583981
2023-05-19,4.72,4.74,4.67,4.7,550196
2023-05-22,4.69,4.73,4.67,4.7,445210
2023-05-23,4.71,4.73,4.59,4.6,604016
2023-05-24,4.59,4.69,4.57,4.62,915616
2023-05-25,4.64,4.69,4.58,4.68,657413
2023-05-26,4.67,4.75,4.62,4.74,596125
2023-05-29,4.74,4.76,4.68,4.72,534008
2023-05-30,4.7,4.77,4.67,4.72,438653
2023-05-31,4.72,4.75,4.68,4.72,453773
2023-06-01,4.72,4.78,4.66,4.67,515800
2023-06-02,4.67,4.71,4.64,4.69,410534
2023-06-05,4.7,4.71,4.62,4.63,389018
2023-06-06,4.62,4.65,4.53,4.54,515420
2023-06-07,4.54,4.6,4.53,4.55,342326
2023-06-08,4.55,4.63,4.53,4.62,373042
2023-06-09,4.62,4.63,4.56,4.58,352292
2023-06-12,4.57,4.58,4.48,4.49,452904
2023-06-13,4.49,4.52,4.48,4.5,272624
2023-06-14,4.52,4.57,4.5,4.51,350176
2023-06-15,4.51,4.61,4.5,4.58,488591
2023-06-16,4.58,4.67,4.57,4.64,534678
2023-06-19,4.64,4.65,4.58,4.61,312207
2023-06-20,4.6,4.65,4.57,4.6,337347
2023-06-21,4.6,4.62,4.53,4.54,338810
2023-06-26,4.51,4.53,4.42,4.43,561659
2023-06-27,4.43,4.48,4.43,4.47,255748
2023-06-28,4.48,4.5,4.43,4.49,366346
2023-06-29,4.49,4.55,4.46,4.54,336489
2023-06-30,4.53,4.63,4.51,4.62,425486
2023-07-03,4.64,4.66,4.6,4.65,370705
2023-07-04,4.63,4.65,4.59,4.61,268247
2023-07-05,4.6,4.62,4.55,4.56,268389
2023-07-06,4.56,4.61,4.54,4.55,255599
2023-07-07,4.55,4.62,4.53,4.61,239695
2023-07-10,4.62,4.7,4.62,4.69,497564
2023-07-11,4.68,4.71,4.66,4.66,267089
2023-07-12,4.67,4.7,4.62,4.64,273814
2023-07-13,4.66,4.71,4.6,4.7,419408
2023-07-14,4.7,4.72,4.68,4.7,273170
2023-07-17,4.69,4.71,4.65,4.69,255271
2023-07-18,4.68,4.71,4.66,4.67,236377
2023-07-19,4.66,4.7,4.66,4.68,433281
2023-07-20,4.7,4.71,4.64,4.65,288906
2023-07-21,4.65,4.69,4.63,4.66,246985
2023-07-24,4.65,4.69,4.61,4.65,410868
2023-07-25,4.82,4.9,4.72,4.86,1529796
2023-07-26,4.86,4.91,4.8,4.83,648648
2023-07-27,4.84,4.86,4.79,4.8,430666
2023-07-28,4.8,5.13,4.78,5.09,2364204
2023-07-31,5.12,5.23,5.03,5.04,2208462
2023-08-01,5.02,5.1,4.97,5.0,1659286
2023-08-02,4.99,5.08,4.97,4.99,978849
2023-08-03,5.01,5.12,4.93,5.1,1470574
2023-08-04,5.16,5.32,5.1,5.16,3156639
2023-08-07,5.1,5.14,5.01,5.11,1426066
2023-08-08,5.06,5.21,4.96,5.11,1672658
2023-08-09,5.11,5.15,5.06,5.08,909406
2023-08-10,5.09,5.14,5.06,5.13,988660
2023-08-11,5.1,5.1,4.92,4.93,1297123
2023-08-14,4.85,4.88,4.79,4.83,1112085
2023-08-15,4.82,4.88,4.8,4.88,871055
2023-08-16,4.87,5.0,4.82,4.93,917475
2023-08-17,4.93,4.94,4.82,4.9,996905
2023-08-18,4.9,4.97,4.8,4.82,733087
2023-08-21,4.79,4.84,4.64,4.64,1059166
2023-08-22,4.68,4.71,4.62,4.69,1044391
2023-08-23,4.66,4.69,4.58,4.59,915756
2023-08-24,4.65,4.69,4.59,4.61,710108
2023-08-25,4.6,4.69,4.58,4.65,767942
2023-08-28,5.12,5.12,4.66,4.67,3576202
2023-08-29,4.62,4.67,4.48,4.56,2257240
2023-08-30,4.54,4.54,4.44,4.44,1316470
2023-08-31,4.46,4.49,4.36,4.36,915371
2023-09-01,4.38,4.41,4.35,4.37,737618
2023-09-04,4.39,4.44,4.35,4.43,909238
2023-09-05,4.42,4.43,4.34,4.36,892650
2023-09-06,4.34,4.38,4.32,4.36,572863
2023-09-07,4.36,4.39,4.32,4.32,593575
2023-09-08,4.32,4.35,4.3,4.33,460469
2023-09-11,4.33,4.41,4.32,4.38,822987
2023-09-12,4.38,4.4,4.36,4.36,406364
2023-09-13,4.37,4.37,4.3,4.32,595301
2023-09-14,4.33,4.36,4.31,4.35,578710
2023-09-15,4.36,4.39,4.34,4.35,728615
2023-09-18,4.34,4.37,4.32,4.36,437903
2023-09-19,4.37,4.38,4.34,4.35,599943
2023-09-20,4.35,4.37,4.32,4.35,391229
2023-09-21,4.35,4.37,4.3,4.3,578484
2023-09-22,4.29,4.43,4.29,4.41,1168519
2023-09-25,4.4,4.4,4.35,4.36,549780
2023-09-26,4.36,4.38,4.34,4.35,379370
2023-09-27,4.35,4.37,4.33,4.34,458147
2023-09-28,4.35,4.37,4.32,4.33,560050
2023-10-09,4.32,4.39,4.28,4.37,914198
2023-10-10,4.37,4.39,4.3,4.31,648984
2023-10-11,4.32,4.37,4.3,4.31,533615
2023-10-12,4.38,4.45,4.35,4.39,758240
2023-10-13,4.35,4.4,4.33,4.38,526596
2023-10-16,4.37,4.43,4.33,4.39,670763
2023-10-17,4.41,4.46,4.38,4.43,873709
2023-10-18,4.42,4.44,4.37,4.38,649846
2023-10-19,4.36,4.41,4.34,4.34,643415
2023-10-20,4.32,4.37,4.31,4.33,485842
2023-10-23,4.31,4.32,4.19,4.2,703517
2023-10-24,4.22,4.36,4.21,4.35,766672
2023-10-25,4.39,4.41,4.36,4.37,698396
2023-10-26,4.35,4.41,4.34,4.39,445192
2023-10-27,4.38,4.45,4.37,4.43,597289
2023-10-30,4.43,4.43,4.38,4.39,509631
2023-10-31,4.38,4.42,4.37,4.39,378844
2023-11-01,4.42,4.44,4.37,4.37,535310
2023-11-02,4.38,4.41,4.35,4.35,421933
2023-11-03,4.35,4.4,4.35,4.38,400442
2023-11-06,4.5,4.56,4.46,4.54,1491834
2023-11-07,4.52,4.61,4.5,4.59,1072990
2023-11-08,4.59,4.62,4.5,4.53,996595
2023-11-09,4.52,4.54,4.49,4.51,512157
2023-11-10,4.51,4.54,4.5,4.53,512196
2023-11-13,4.51,4.52,4.47,4.5,550368
2023-11-14,4.5,4.72,4.49,4.61,1838607
2023-11-15,4.65,4.71,4.61,4.63,1298475
2023-11-16,4.62,4.66,4.59,4.6,664417
2023-11-17,4.59,4.63,4.58,4.62,530074
2023-11-20,4.62,4.64,4.53,4.57,626396
2023-11-21,4.58,4.64,4.54,4.57,580936
2023-11-22,4.55,4.59,4.53,4.53,386419
2023-11-23,4.54,4.56,4.51,4.54,386100
2023-11-24,4.55,4.62,4.52,4.56,638954
2023-11-27,4.54,4.58,4.49,4.56,730485
2023-11-28,4.55,4.58,4.52,4.55,457757
2023-11-29,4.55,4.57,4.48,4.49,540299
2023-11-30,4.5,4.53,4.48,4.51,450213
2023-12-01,4.52,4.59,4.51,4.58,626562
2023-12-04,4.57,4.63,4.56,4.6,595832
2023-12-05,4.59,4.59,4.49,4.5,712672
2023-12-06,4.5,4.52,4.46,4.47,477079
2023-12-07,4.47,4.57,4.45,4.55,673014
2023-12-08,4.55,4.58,4.51,4.52,574888
2023-12-11,4.52,4.59,4.43,4.58,788265
2023-12-12,4.57,4.59,4.55,4.58,439822
2023-12-13,4.58,4.6,4.54,4.54,419550
2023-12-14,4.56,4.58,4.51,4.52,342649
2023-12-15,4.53,4.55,4.48,4.48,443596
2023-12-18,4.48,4.52,4.45,4.47,494571
2023-12-19,4.47,4.49,4.43,4.46,411920
2023-12-20,4.46,4.47,4.36,4.36,534538
2023-12-21,4.35,4.37,4.32,4.34,518770
2023-12-22,4.34,4.44,4.32,4.39,785161
2023-12-25,4.37,4.42,4.36,4.41,336478
2023-12-26,4.4,4.41,4.35,4.36,305557
2023-12-27,4.36,4.42,4.33,4.4,366412
2023-12-28,4.4,4.48,4.39,4.46,639952
2023-12-29,4.45,4.47,4.43,4.44,509531
2024-01-02,4.44,4.45,4.37,4.37,566733
2024-01-03,4.37,4.41,4.36,4.38,390343
2024-01-04,4.37,4.38,4.32,4.34,414283
2024-01-05,4.35,4.45,4.33,4.37,719905
2024-01-08,4.36,4.36,4.25,4.26,613649
2024-01-09,4.26,4.29,4.2,4.24,442294
2024-01-10,4.24,4.28,4.21,4.23,356756
2024-01-11,4.22,4.27,4.21,4.24,471308
2024-01-12,4.24,4.3,4.23,4.24,445787
2024-01-15,4.23,4.25,4.19,4.2,458942
2024-01-16,4.2,4.25,4.18,4.24,521596
2024-01-17,4.23,4.26,4.19,4.19,398969
2024-01-18,4.18,4.21,4.06,4.2,772494
2024-01-19,4.18,4.2,4.14,4.17,478671
2024-01-22,4.18,4.26,4.09,4.13,952738
2024-01-23,4.13,4.21,4.08,4.18,631153
2024-01-24,4.2,4.36,4.16,4.32,987354
2024-01-25,4.3,4.43,4.29,4.43,1164086
2024-01-26,4.41,4.47,4.37,4.44,1032424
2024-01-29,4.44,4.52,4.43,4.47,956365
2024-01-30,4.43,4.5,4.4,4.41,646341
2024-01-31,4.41,4.45,4.35,4.37,723679
2024-02-01,4.36,4.43,4.34,4.35,748209
2024-02-02,4.36,4.41,4.21,4.33,954338
2024-02-05,4.34,4.4,4.21,4.29,1146458
2024-02-06,4.26,4.54,4.23,4.5,1359357
2024-02-07,4.5,4.57,4.46,4.53,1509271
2024-02-08,4.54,4.58,4.43,4.48,1599314
2024-02-19,4.45,4.45,4.36,4.4,1215090
2024-02-20,4.39,4.47,4.37,4.46,892709
2024-02-21,4.46,4.56,4.41,4.5,1020409
2024-02-22,4.49,4.53,4.48,4.51,127441
